카페명,판정,registry매칭,지역,정보등급,유튜브_언급영상,유튜브_최고조회수,유튜브_요약,주소_Pass1,블로그_유효스니펫,블로그_블로거수,블로그_최신포스트,블로그_총량참고,지역검색_상호,지역검색_업종,지역검색_주소,플래그,스니펫예시
어드브레드,보류,O,기타,low,1,56780,,,99,99,20260114,1018,,,,,제주에 머물며 엔틱한 분위기에 귀엽고 따뜻함 등 다방면으로 인상 깊었던 어드브레드 제주에서는 좀 예쁘다 싶으면 위치부터 찾아보는데 동문시장 2-3번 출입구 건너편 광장 앞이더라고요
아베베비킬라,보류,,김녕,low,1,5379,,,100,99,20260525,1039,,,,,아베베 베이커리 비킬라 주소: 제주 제주시 구좌읍 해맞이해안로 617-4 B동 전화: 0507-1347-2959 영업시간... 제주동쪽가볼만한곳 #제주아베베 #아베베베이커리 #제주
아베베비킬라베이커리,보류,,구좌,high,1,24131,뷰: 코난비치 근처에 있는 베이커리카페이며 시그니처 메뉴로 바스크치즈크와(5.5)와 히비스커스망고에이드(5.8)가 소개되어 있음. 영업시간은 1,,99,98,20260513,871,,,,,제주스러운 바다... #러브체인 #체인부부 #제주여행 #제주카페 #아베베베이커리 #아베베베이커리 #아베베비킬라 #크림도넛츠 #카멜커피 #코난비치 #코난비치아베베 #코난비치카멜커리 
열정의산보,보류,,제주시내,high,1,6837,"브런치 전문 카페로 베이컨프렌치토스트(15,000원)과 시그니쳐버터파스타(16,000원)를 판매하며 영업시간은 09:00~18:00, 수요일 정",제주시 구남동4길 47,100,97,20251222,510,,,,,제주 아라동 맛집 열정의산보 제주시 브런치 카페 글/사진 ⓒ선 아 &lt;열정의산보 제주아라점&gt; 주소 제주... 등 열정의산보 굿즈를 판매하는 공간도 있었어요. 건강한 메뉴가
골든피스 제주점,보류,,안덕,low,1,363,,,96,95,20250531,136,,,,,"진짜.. 반찬 하나하나 너무 정갈하고 맛있으니 꼭 드세요. 제주 서귀포 숙소 에가톳, 서귀포카페 골든피스 제주점은 자연 속에서의 완벽한 휴식과 다양한 프로그램을 통해 제주만의 특별"
명문제과,보류,,남원,low,1,2719,크림빵 등 빵을 구매한 장면이 언급되어 있음.,,95,93,20260708,36479,,,,,빵지순례 남원 명문제과 사진/글 : 과누 드디어 먹어봤습니다. 매번 전북 남원에 갈 때마다 긴 웨이팅... 바로 남원 명문제과 빵입니다.  2026년 4월 21일(화) 평일 13:
코리코카페 (Koriko Cafe Jeju),보류,,구좌,high,1,79313,"주차 가능, 반려동물 동반 불가.",제주 제주시 구좌읍 비자림로 1199,93,92,20260626,134,,,,,두둥 설렘 도착 Koriko cafe (코리코 카페) 주소 제주 제주시 구좌읍 비자림로 1199 (제주 제주시 구좌읍 송당리 2860) 운영시간 매일 10:00- 19:00 (18
귤메달하우스,보류,,제주시내,high,2,6990,상큼한 감귤음료와 아이스크림을 제공하는 카페. 실내 스탠딩 테이블과 매장 밖 좌식 테이블이 있으며 매장 옆에 주차장이 있음.,제주 제주시 탑동로 17 1층,92,90,20260706,1757,,,,,제주 유니클로에서 가장 핫다다고 하는 귤메달 티셔츠를 입은 점원이 매우 바쁘게 움직여도 주문을... 제주 귤메달하우스 위치도 우리가 제주시에 머물땐 늘 머무는 곳이라 (여기가 위치
카페 아티나,보류,,남원,high,2,5202,"테라스가 보이는 감성 충만 창가자리, 파란색과 하얀색의 산토리니 분위기와 빵·음료를 제공한다.",남원시 운봉읍 바래봉길 191,93,90,20260707,1912,,,,,"출발 카페 아티나 위치 : 남원시 운봉읍 바래봉길 191 1층 영업시간 : 10시~19시(금/일 9시~19시, 토 9시~20시) 남원 숙소 오헤브데이에 머문다면 필수로 들러야 할 "
이동건 카페,보류,,애월,low,1,15060,,,90,86,20260708,2774,,,,,제주 애월 카페 이동건 오아시스80 카페 방문 후 식사까지 여러가지 꼭 가보고 싶었던 제주도 여행 계획... 느껴졌어요 제주 이동건 카페로 입소문이 꽤나 알려져 있어 주말은 북적일
